Nome,Empresa,Numero,Email
"Sócio-Diretor Titular","Atacado Central de Suprimentos Bauru","","sócio-diretor.titular@atacadocentraldesuprimentosbauru.com.br"
"Sócio-Diretor Titular","Centro Oftalmológico Integrado Ribeirão Preto","","sócio-diretor.titular@centrooftalmolgicointegradoribeiropreto.com.br"
"Sócio-Diretor Titular","Alimentos Selecionados Paulista Araraquara","","sócio-diretor.titular@alimentosselecionadospaulistaararaquara.com.br"
"Sócio-Diretor Titular","Eletromecânica Força Industrial Londrina","","sócio-diretor.titular@eletromecnicaforaindustriallondrina.com.br"
"Sócio-Diretor Titular","AgroGrãos Comercial e Armazenagem Uberaba","","sócio-diretor.titular@agrogroscomercialearmazenagemuberaba.com.br"
"Sócio-Diretor Titular","Agroexport Trading de Grãos e Café Varginha","","sócio-diretor.titular@agroexporttradingdegrosecafvarginha.com.br"
"Sócio-Diretor Titular","Transpesados Concessionária e Frotas Campinas","","sócio-diretor.titular@transpesadosconcessionriaefrotascampinas.com.br"
"Sócio-Diretor Titular","MedPrime Diagnósticos e Cirurgias Curitiba","","sócio-diretor.titular@medprimediagnsticosecirurgiascuritiba.com.br"
"Sócio-Diretor Titular","Bebidas & Refrigerantes Tropical Ponta Grossa","","sócio-diretor.titular@bebidasrefrigerantestropicalpontagrossa.com.br"
"Sócio-Diretor Titular","Fundição & Usinagem Paulista Sertãozinho","","sócio-diretor.titular@fundiousinagempaulistasertozinho.com.br"
"Sócio-Diretor Titular","Sementes Ouro Verde Campo Grande","","sócio-diretor.titular@sementesouroverdecampogrande.com.br"
"Sócio-Diretor Titular","Brasil Nobre Carnes e Exportação Campo Grande","","sócio-diretor.titular@brasilnobrecarneseexportaocampogrande.com.br"
"Sócio-Diretor Titular","Comercial e Logística Express Bauru","","sócio-diretor.titular@comercialelogsticaexpressbauru.com.br"
"Sócio-Diretor Titular","Centro de Medicina Diagnóstica Avançada Belo Horizonte","","sócio-diretor.titular@centrodemedicinadiagnsticaavanadabelohorizonte.com.br"
"Sócio-Diretor Titular","Frigorífico e Embutidos Real Pouso Alegre","","sócio-diretor.titular@frigorficoeembutidosrealpousoalegre.com.br"
"Sócio-Diretor Titular","Estruturas Metálicas Vanguarda Contagem","","sócio-diretor.titular@estruturasmetlicasvanguardacontagem.com.br"
"Sócio-Diretor Titular","Cerealista São Bento Grãos Londrina","","sócio-diretor.titular@cerealistasobentogroslondrina.com.br"
"Sócio-Diretor Titular","CerealExport Operações Internacionais Itajaí","","sócio-diretor.titular@cerealexportoperaesinternacionaisitaja.com.br"
"Sócio-Diretor Titular","Distribuidora de Alimentos & Bebidas Planalto Campinas","","sócio-diretor.titular@distribuidoradealimentosbebidasplanaltocampinas.com.br"
"Sócio-Diretor Titular","Instituto de Ortopedia e Coluna (SP)","","sócio-diretor.titular@institutodeortopediaecolunasp.com.br"
"Sócio-Diretor Titular","Biscoitos & Doces Nobres Jaú","","sócio-diretor.titular@biscoitosdocesnobresja.com.br"
"Sócio-Diretor Titular","Caldeiraria & Equipamentos Vale Bauru","","sócio-diretor.titular@caldeirariaequipamentosvalebauru.com.br"
"Sócio-Diretor Titular","Campo Forte Distribuidora de Insumos Maringá","","sócio-diretor.titular@campofortedistribuidoradeinsumosmaring.com.br"
"Sócio-Diretor Titular","GlobalTrade Exportação de Alimentos Santos","","sócio-diretor.titular@globaltradeexportaodealimentossantos.com.br"
"Sócio-Diretor Titular","MegaLog Armazenagem e Distribuição Bauru","","sócio-diretor.titular@megalogarmazenagemedistribuiobauru.com.br"
"Sócio-Diretor Titular","Clínica de Especialidades Cardiovasculares Campinas","","sócio-diretor.titular@clnicadeespecialidadescardiovascularescampinas.com.br"
"Sócio-Diretor Titular","Instituto de Cirurgia e Videolaparoscopia Paulista","","sócio-diretor.titular@institutodecirurgiaevideolaparoscopiapaulista.com.br"
"Sócio-Diretor Titular","Centro Oftalmológico de Alta Precisão","","sócio-diretor.titular@centrooftalmolgicodealtapreciso.com.br"
"Sócio-Diretor Titular","Orthoprime Instituto de Coluna e Articulações","","sócio-diretor.titular@orthoprimeinstitutodecolunaearticulaes.com.br"
"Sócio-Diretor Titular","Centro Oncológico e Hematologia Integrada","","sócio-diretor.titular@centrooncolgicoehematologiaintegrada.com.br"
"Sócio-Diretor Titular","Dermalaser Clínica Médica e Cirúrgica","","sócio-diretor.titular@dermalaserclnicamdicaecirrgica.com.br"
"Sócio-Diretor Titular","Instituto Urológico do Interior Paulista","","sócio-diretor.titular@institutourolgicodointeriorpaulista.com.br"
"Sócio-Diretor Titular","Neuroclin Centro Diagnóstico Neurológico","","sócio-diretor.titular@neuroclincentrodiagnsticoneurolgico.com.br"
"Sócio-Diretor Titular","Maternaprime Centro de Medicina Reprodutiva","","sócio-diretor.titular@maternaprimecentrodemedicinareprodutiva.com.br"
"Sócio-Diretor Titular","Agrometal Implementos Industriais e Agrícolas","","sócio-diretor.titular@agrometalimplementosindustriaiseagrcolas.com.br"
"Sócio-Diretor Titular","Caldeiraria Vanguarda Equipamentos Industriais","","sócio-diretor.titular@caldeirariavanguardaequipamentosindustriais.com.br"
"Sócio-Diretor Titular","Usinagem de Precisão Componentes Mecânicos e Estamparia","","sócio-diretor.titular@usinagemdeprecisocomponentesmecnicoseestamparia.com.br"
"Sócio-Diretor Titular","Fundição & Metalurgia Paulista","","sócio-diretor.titular@fundiometalurgiapaulista.com.br"
"Sócio-Diretor Titular","Aço Forte Engenharia e Estruturas Metálicas","","sócio-diretor.titular@aoforteengenhariaeestruturasmetlicas.com.br"
"Sócio-Diretor Titular","Hidropneumática Força Industrial","","sócio-diretor.titular@hidropneumticaforaindustrial.com.br"
"Sócio-Diretor Titular","Laticínios Vale Nobre & Derivados","","sócio-diretor.titular@laticniosvalenobrederivados.com.br"
"Sócio-Diretor Titular","Moinho Paulista de Cereais e Farinhas","","sócio-diretor.titular@moinhopaulistadecereaisefarinhas.com.br"
"Sócio-Diretor Titular","Massas Tradicionais da Serra","","sócio-diretor.titular@massastradicionaisdaserra.com.br"
"Sócio-Diretor Titular","Conservas & Alimentos do Interior","","sócio-diretor.titular@conservasalimentosdointerior.com.br"
"Sócio-Diretor Titular","Frigorífico & Charcutaria Vale Verde","","sócio-diretor.titular@frigorficocharcutariavaleverde.com.br"
"Sócio-Diretor Titular","Sucos & Bebidas Naturais da Terra","","sócio-diretor.titular@sucosbebidasnaturaisdaterra.com.br"
"Sócio-Diretor Titular","AgroGrãos Comercial e Armazenagem","","sócio-diretor.titular@agrogroscomercialearmazenagem.com.br"
"Sócio-Diretor Titular","Fertilmax Nutrição Vegetal e Fertilizantes","","sócio-diretor.titular@fertilmaxnutriovegetalefertilizantes.com.br"
"Sócio-Diretor Titular","Sementes Ouro Verde do Cerrado","","sócio-diretor.titular@sementesouroverdedocerrado.com.br"
"Sócio-Diretor Titular","Bioinsumos & Nutrição do Campo","","sócio-diretor.titular@bioinsumosnutriodocampo.com.br"
"Sócio-Diretor Titular","Cerealista São Bento Armazéns Gerais","","sócio-diretor.titular@cerealistasobentoarmaznsgerais.com.br"
"Sócio-Diretor Titular","Campo Forte Agropecuária e Distribuição","","sócio-diretor.titular@campoforteagropecuriaedistribuio.com.br"
"Sócio-Diretor Titular","Agroexport Trading de Café e Grãos","","sócio-diretor.titular@agroexporttradingdecafegros.com.br"
"Sócio-Diretor Titular","Porto Trade Logística de Comércio Exterior","","sócio-diretor.titular@portotradelogsticadecomrcioexterior.com.br"
"Sócio-Diretor Titular","Sul Export Madeiras e Derivados para Exportação","","sócio-diretor.titular@sulexportmadeirasederivadosparaexportao.com.br"
"Sócio-Diretor Titular","Brasil Nobre Carnes e Exportação Internacional","","sócio-diretor.titular@brasilnobrecarneseexportaointernacional.com.br"
"Sócio-Diretor Titular","Interquímica Operações Internacionais e Insumos","","sócio-diretor.titular@interqumicaoperaesinternacionaiseinsumos.com.br"
"Sócio-Diretor Titular","Distribuidora de Alimentos & Bebidas Planalto","","sócio-diretor.titular@distribuidoradealimentosbebidasplanalto.com.br"
"Sócio-Diretor Titular","Transpesados Concessionária e Frotas Comerciais","","sócio-diretor.titular@transpesadosconcessionriaefrotascomerciais.com.br"
"Sócio-Diretor Titular","Clínica Paulista de Cirurgia Bariátrica e Metabólica S/S","","sócio-diretor.titular@clnicapaulistadecirurgiabaritricaemetablicass.com.br"
"Sócio-Diretor Titular","Instituto Paranaense de Retina e Vítreo S/S","","sócio-diretor.titular@institutoparanaensederetinaevtreoss.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Limeira","","sócio-diretor.titular@sociedadedeadvogadosassociadoslimeira.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Passos","","sócio-diretor.titular@sociedadedeadvogadosassociadospassos.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados São José dos Pinhais","","sócio-diretor.titular@sociedadedeadvogadosassociadossojosdospinhais.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Criciúma","","sócio-diretor.titular@sociedadedeadvogadosassociadoscricima.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Três Lagoas","","sócio-diretor.titular@sociedadedeadvogadosassociadostrslagoas.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Goiânia","","sócio-diretor.titular@sociedadedeadvogadosassociadosgoinia.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Piracicaba","","sócio-diretor.titular@sociedadedeadvogadosassociadospiracicaba.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Pouso Alegre","","sócio-diretor.titular@sociedadedeadvogadosassociadospousoalegre.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Ponta Grossa","","sócio-diretor.titular@sociedadedeadvogadosassociadospontagrossa.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Itajaí","","sócio-diretor.titular@sociedadedeadvogadosassociadositaja.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Campo Grande","","sócio-diretor.titular@sociedadedeadvogadosassociadoscampogrande.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Rio Verde","","sócio-diretor.titular@sociedadedeadvogadosassociadosrioverde.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Ribeirão Preto","","sócio-diretor.titular@sociedadedeadvogadosassociadosribeiropreto.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Uberlândia","","sócio-diretor.titular@sociedadedeadvogadosassociadosuberlndia.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Maringá","","sócio-diretor.titular@sociedadedeadvogadosassociadosmaring.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Chapecó","","sócio-diretor.titular@sociedadedeadvogadosassociadoschapec.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Três Lagoas","","sócio-diretor.titular@sociedadedeadvogadosassociadostrslagoas.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Anápolis","","sócio-diretor.titular@sociedadedeadvogadosassociadosanpolis.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Limeira","","sócio-diretor.titular@sociedadedeadvogadosassociadoslimeira.com.br"
"Sócio-Diretor Titular","Sociedade de Advogados Associados Contagem","","sócio-diretor.titular@sociedadedeadvogadosassociadoscontagem.com.br"
"Sócio-Diretor Titular","Frigorífico e Cortes Especiais Boi Nobre Limeira","","sócio-diretor.titular@frigorficoecortesespeciaisboinobrelimeira.com.br"
"Sócio-Diretor Titular","Conservas e Vegetais Selecionados Passos","","sócio-diretor.titular@conservasevegetaisselecionadospassos.com.br"
"Sócio-Diretor Titular","Laticínios Ouro Branco São José dos Pinhais","","sócio-diretor.titular@laticniosourobrancosojosdospinhais.com.br"
"Sócio-Diretor Titular","Moinho de Trigo e Farinhas Nobres Criciúma","","sócio-diretor.titular@moinhodetrigoefarinhasnobrescricima.com.br"
"Sócio-Diretor Titular","Frigorífico e Cortes Especiais Boi Nobre Três Lagoas","","sócio-diretor.titular@frigorficoecortesespeciaisboinobretrslagoas.com.br"
"Sócio-Diretor Titular","Conservas e Vegetais Selecionados Goiânia","","sócio-diretor.titular@conservasevegetaisselecionadosgoinia.com.br"
"Sócio-Diretor Titular","Laticínios Ouro Branco Piracicaba","","sócio-diretor.titular@laticniosourobrancopiracicaba.com.br"
"Sócio-Diretor Titular","Moinho de Trigo e Farinhas Nobres Pouso Alegre","","sócio-diretor.titular@moinhodetrigoefarinhasnobrespousoalegre.com.br"
"Sócio-Diretor Titular","Frigorífico e Cortes Especiais Boi Nobre Ponta Grossa","","sócio-diretor.titular@frigorficoecortesespeciaisboinobrepontagrossa.com.br"
"Sócio-Diretor Titular","Conservas e Vegetais Selecionados Itajaí","","sócio-diretor.titular@conservasevegetaisselecionadositaja.com.br"
"Sócio-Diretor Titular","Agrogrãos Silos e Armazenagem Campo Grande","","sócio-diretor.titular@agrogrossilosearmazenagemcampogrande.com.br"
"Sócio-Diretor Titular","Fertilizantes e Nutrição Foliar do Campo Rio Verde","","sócio-diretor.titular@fertilizantesenutriofoliardocamporioverde.com.br"
"Sócio-Diretor Titular","Sementes Certificadas Soja e Milho Ribeirão Preto","","sócio-diretor.titular@sementescertificadassojaemilhoribeiropreto.com.br"
"Sócio-Diretor Titular","Bioinsumos e Controle Biológico Agrícola Uberlândia","","sócio-diretor.titular@bioinsumosecontrolebiolgicoagrcolauberlndia.com.br"
"Sócio-Diretor Titular","Agrogrãos Silos e Armazenagem Maringá","","sócio-diretor.titular@agrogrossilosearmazenagemmaring.com.br"
"Sócio-Diretor Titular","Fertilizantes e Nutrição Foliar do Campo Chapecó","","sócio-diretor.titular@fertilizantesenutriofoliardocampochapec.com.br"
"Sócio-Diretor Titular","Sementes Certificadas Soja e Milho Três Lagoas","","sócio-diretor.titular@sementescertificadassojaemilhotrslagoas.com.br"
"Sócio-Diretor Titular","Bioinsumos e Controle Biológico Agrícola Anápolis","","sócio-diretor.titular@bioinsumosecontrolebiolgicoagrcolaanpolis.com.br"
"Sócio-Diretor Titular","Agrogrãos Silos e Armazenagem Limeira","","sócio-diretor.titular@agrogrossilosearmazenagemlimeira.com.br"
"Sócio-Diretor Titular","Fertilizantes e Nutrição Foliar do Campo Contagem","","sócio-diretor.titular@fertilizantesenutriofoliardocampocontagem.com.br"
"Sócio-Diretor Titular","Exportação de Commodities e Grãos Londrina","","sócio-diretor.titular@exportaodecommoditiesegroslondrina.com.br"
"Sócio-Diretor Titular","Importação de Matérias-Primas Químicas Blumenau","","sócio-diretor.titular@importaodematriasprimasqumicasblumenau.com.br"
"Sócio-Diretor Titular","Comércio Exterior e Despacho Aduaneiro Campo Grande","","sócio-diretor.titular@comrcioexterioredespachoaduaneirocampogrande.com.br"
"Sócio-Diretor Titular","Trading de Importação e Distribuição Jataí","","sócio-diretor.titular@tradingdeimportaoedistribuiojata.com.br"
"Sócio-Diretor Titular","Exportação de Commodities e Grãos Piracicaba","","sócio-diretor.titular@exportaodecommoditiesegrospiracicaba.com.br"
"Sócio-Diretor Titular","Importação de Matérias-Primas Químicas Passos","","sócio-diretor.titular@importaodematriasprimasqumicaspassos.com.br"
"Sócio-Diretor Titular","Comércio Exterior e Despacho Aduaneiro Curitiba","","sócio-diretor.titular@comrcioexterioredespachoaduaneirocuritiba.com.br"
"Sócio-Diretor Titular","Trading de Importação e Distribuição Florianópolis","","sócio-diretor.titular@tradingdeimportaoedistribuioflorianpolis.com.br"
"Sócio-Diretor Titular","Instituto de Oncologia Integrada e Imunoterapia São Paulo","","sócio-diretor.titular@institutodeoncologiaintegradaeimunoterapiasopaulo.com.br"
"Sócio-Diretor Titular","Instituto de Cirurgia da Coluna Vertebral e Neurocirurgia Uberlândia","","sócio-diretor.titular@institutodecirurgiadacolunavertebraleneurocirurgiauberlndia.com.br"
"Sócio-Diretor Titular","Instituto de Cirurgia Plástica e Reconstrução Estética Maringá","","sócio-diretor.titular@institutodecirurgiaplsticaereconstruoestticamaring.com.br"
"Sócio-Diretor Titular","Instituto de Medicina Fetal e Genética Pré-Natal Chapecó","","sócio-diretor.titular@institutodemedicinafetalegenticaprnatalchapec.com.br"
"Sócio-Diretor Titular","Instituto de Oftalmologia a Laser e Retina Cirúrgica Campo Grande","","sócio-diretor.titular@institutodeoftalmologiaalasereretinacirrgicacampogrande.com.br"
"Sócio-Diretor Titular","Instituto de Urologia Robótica e Litotripsia a Laser Goiânia","","sócio-diretor.titular@institutodeurologiarobticaelitotripsiaalasergoinia.com.br"
"Sócio-Diretor Titular","Instituto de Otorrinolaringologia e Cirurgia de Ouvido Jundiaí","","sócio-diretor.titular@institutodeotorrinolaringologiaecirurgiadeouvidojundia.com.br"
"Sócio-Diretor Titular","Instituto de Cirurgia Bariátrica e Metabólica Avançada Passos","","sócio-diretor.titular@institutodecirurgiabaritricaemetablicaavanadapassos.com.br"
"Sócio-Diretor Titular","Instituto de Dermatologia Cirúrgica e Laser Fotona Londrina","","sócio-diretor.titular@institutodedermatologiacirrgicaelaserfotonalondrina.com.br"
"Sócio-Diretor Titular","Instituto de Angiologia e Cirurgia Endovascular Blumenau","","sócio-diretor.titular@institutodeangiologiaecirurgiaendovascularblumenau.com.br"
"Sócio-Diretor Titular","Instituto de Ortopedia e Cirurgia do Joelho e Artroscopia Três Lagoas","","sócio-diretor.titular@institutodeortopediaecirurgiadojoelhoeartroscopiatrslagoas.com.br"
"Sócio-Diretor Titular","Instituto de Reprodução Humana e Fertilização Assistida Rio Verde","","sócio-diretor.titular@institutodereproduohumanaefertilizaoassistidarioverde.com.br"
"Sócio-Diretor Titular","Indústria Plásticos Ribeirão Preto","","sócio-diretor.titular@indstriaplsticosribeiropreto.com.br"
"Sócio-Diretor Titular","Indústria Eletromotores Betim","","sócio-diretor.titular@indstriaeletromotoresbetim.com.br"
"Sócio-Diretor Titular","Indústria Fundição Maringá","","sócio-diretor.titular@indstriafundiomaring.com.br"
"Sócio-Diretor Titular","Indústria Metalúrgica Chapecó","","sócio-diretor.titular@indstriametalrgicachapec.com.br"
"Sócio-Diretor Titular","Indústria Caldeiraria Três Lagoas","","sócio-diretor.titular@indstriacaldeirariatrslagoas.com.br"
"Sócio-Diretor Titular","Indústria Plásticos Anápolis","","sócio-diretor.titular@indstriaplsticosanpolis.com.br"
"Sócio-Diretor Titular","Indústria Eletromotores São Paulo","","sócio-diretor.titular@indstriaeletromotoressopaulo.com.br"
"Sócio-Diretor Titular","Indústria Fundição Uberlândia","","sócio-diretor.titular@indstriafundiouberlndia.com.br"
"Sócio-Diretor Titular","Indústria Metalúrgica Londrina","","sócio-diretor.titular@indstriametalrgicalondrina.com.br"
"Sócio-Diretor Titular","Indústria Caldeiraria Blumenau","","sócio-diretor.titular@indstriacaldeirariablumenau.com.br"
"Sócio-Diretor Titular","Indústria Plásticos Campo Grande","","sócio-diretor.titular@indstriaplsticoscampogrande.com.br"
"Sócio-Diretor Titular","Indústria Eletromotores Jataí","","sócio-diretor.titular@indstriaeletromotoresjata.com.br"
"Sócio-Diretor Titular","Indústria Fundição Jundiaí","","sócio-diretor.titular@indstriafundiojundia.com.br"
